Start,End
16th St. Mission BART,12th St. Oakland City Center BART
19th St. Oakland BART,12th St. Oakland City Center BART
24th St. Mission BART,12th St. Oakland City Center BART
Ashby BART,12th St. Oakland City Center BART
Balboa Park BART,12th St. Oakland City Center BART
Bay Fair  BART,12th St. Oakland City Center BART
Castro Valley BART,12th St. Oakland City Center BART
Civic Center/UN Plaza BART,12th St. Oakland City Center BART
Coliseum/Oakland Airport BART,12th St. Oakland City Center BART
Colma BART,12th St. Oakland City Center BART
Concord BART,12th St. Oakland City Center BART
Daly City BART,12th St. Oakland City Center BART
Downtown Berkeley BART,12th St. Oakland City Center BART
Dublin/Pleasanton BART,12th St. Oakland City Center BART
El Cerrito del Norte BART,12th St. Oakland City Center BART
El Cerrito Plaza BART,12th St. Oakland City Center BART
Embarcadero BART,12th St. Oakland City Center BART
Fremont BART,12th St. Oakland City Center BART
Fruitvale  BART,12th St. Oakland City Center BART
Glen Park BART,12th St. Oakland City Center BART
Hayward BART,12th St. Oakland City Center BART
Lafayette BART,12th St. Oakland City Center BART
Lake Merritt  BART,12th St. Oakland City Center BART
MacArthur  BART,12th St. Oakland City Center BART
Millbrae BART,12th St. Oakland City Center BART
Montgomery St. BART,12th St. Oakland City Center BART
North Berkeley BART,12th St. Oakland City Center BART
North Concord/Martinez BART,12th St. Oakland City Center BART
Orinda BART,12th St. Oakland City Center BART
Pittsburg/Bay Point BART,12th St. Oakland City Center BART
Pleasant Hill/Contra Costa Centre BART,12th St. Oakland City Center BART
Powell St. BART,12th St. Oakland City Center BART
Richmond BART,12th St. Oakland City Center BART
Rockridge  BART,12th St. Oakland City Center BART
San Bruno BART,12th St. Oakland City Center BART
San Francisco Int'l Airport BART,12th St. Oakland City Center BART
San Leandro BART,12th St. Oakland City Center BART
South Hayward BART,12th St. Oakland City Center BART
South San Francisco BART,12th St. Oakland City Center BART
Union City BART,12th St. Oakland City Center BART
Walnut Creek BART,12th St. Oakland City Center BART
West Dublin/Pleasanton BART,12th St. Oakland City Center BART
West Oakland BART,12th St. Oakland City Center BART
12th St. Oakland City Center BART,16th St. Mission BART
19th St. Oakland BART,16th St. Mission BART
24th St. Mission BART,16th St. Mission BART
Ashby BART,16th St. Mission BART
Balboa Park BART,16th St. Mission BART
Bay Fair  BART,16th St. Mission BART
Castro Valley BART,16th St. Mission BART
Civic Center/UN Plaza BART,16th St. Mission BART
Coliseum/Oakland Airport BART,16th St. Mission BART
Colma BART,16th St. Mission BART
Concord BART,16th St. Mission BART
Daly City BART,16th St. Mission BART
Downtown Berkeley BART,16th St. Mission BART
Dublin/Pleasanton BART,16th St. Mission BART
El Cerrito del Norte BART,16th St. Mission BART
El Cerrito Plaza BART,16th St. Mission BART
Embarcadero BART,16th St. Mission BART
Fremont BART,16th St. Mission BART
Fruitvale  BART,16th St. Mission BART
Glen Park BART,16th St. Mission BART
Hayward BART,16th St. Mission BART
Lafayette BART,16th St. Mission BART
Lake Merritt  BART,16th St. Mission BART
MacArthur  BART,16th St. Mission BART
Millbrae BART,16th St. Mission BART
Montgomery St. BART,16th St. Mission BART
North Berkeley BART,16th St. Mission BART
North Concord/Martinez BART,16th St. Mission BART
Orinda BART,16th St. Mission BART
Pittsburg/Bay Point BART,16th St. Mission BART
Pleasant Hill/Contra Costa Centre BART,16th St. Mission BART
Powell St. BART,16th St. Mission BART
Richmond BART,16th St. Mission BART
Rockridge  BART,16th St. Mission BART
San Bruno BART,16th St. Mission BART
San Francisco Int'l Airport BART,16th St. Mission BART
San Leandro BART,16th St. Mission BART
South Hayward BART,16th St. Mission BART
South San Francisco BART,16th St. Mission BART
Union City BART,16th St. Mission BART
Walnut Creek BART,16th St. Mission BART
West Dublin/Pleasanton BART,16th St. Mission BART
West Oakland BART,16th St. Mission BART
12th St. Oakland City Center BART,19th St. Oakland BART
16th St. Mission BART,19th St. Oakland BART
24th St. Mission BART,19th St. Oakland BART
Ashby BART,19th St. Oakland BART
Balboa Park BART,19th St. Oakland BART
Bay Fair  BART,19th St. Oakland BART
Castro Valley BART,19th St. Oakland BART
Civic Center/UN Plaza BART,19th St. Oakland BART
Coliseum/Oakland Airport BART,19th St. Oakland BART
Colma BART,19th St. Oakland BART
Concord BART,19th St. Oakland BART
Daly City BART,19th St. Oakland BART
Downtown Berkeley BART,19th St. Oakland BART
Dublin/Pleasanton BART,19th St. Oakland BART
El Cerrito del Norte BART,19th St. Oakland BART
El Cerrito Plaza BART,19th St. Oakland BART
Embarcadero BART,19th St. Oakland BART
Fremont BART,19th St. Oakland BART
Fruitvale  BART,19th St. Oakland BART
Glen Park BART,19th St. Oakland BART
Hayward BART,19th St. Oakland BART
Lafayette BART,19th St. Oakland BART
Lake Merritt  BART,19th St. Oakland BART
MacArthur  BART,19th St. Oakland BART
Millbrae BART,19th St. Oakland BART
Montgomery St. BART,19th St. Oakland BART
North Berkeley BART,19th St. Oakland BART
North Concord/Martinez BART,19th St. Oakland BART
Orinda BART,19th St. Oakland BART
Pittsburg/Bay Point BART,19th St. Oakland BART
Pleasant Hill/Contra Costa Centre BART,19th St. Oakland BART
Powell St. BART,19th St. Oakland BART
Richmond BART,19th St. Oakland BART
Rockridge  BART,19th St. Oakland BART
San Bruno BART,19th St. Oakland BART
San Francisco Int'l Airport BART,19th St. Oakland BART
San Leandro BART,19th St. Oakland BART
South Hayward BART,19th St. Oakland BART
South San Francisco BART,19th St. Oakland BART
Union City BART,19th St. Oakland BART
Walnut Creek BART,19th St. Oakland BART
West Dublin/Pleasanton BART,19th St. Oakland BART
West Oakland BART,19th St. Oakland BART
12th St. Oakland City Center BART,24th St. Mission BART
16th St. Mission BART,24th St. Mission BART
19th St. Oakland BART,24th St. Mission BART
Ashby BART,24th St. Mission BART
Balboa Park BART,24th St. Mission BART
Bay Fair  BART,24th St. Mission BART
Castro Valley BART,24th St. Mission BART
Civic Center/UN Plaza BART,24th St. Mission BART
Coliseum/Oakland Airport BART,24th St. Mission BART
Colma BART,24th St. Mission BART
Concord BART,24th St. Mission BART
Daly City BART,24th St. Mission BART
Downtown Berkeley BART,24th St. Mission BART
Dublin/Pleasanton BART,24th St. Mission BART
El Cerrito del Norte BART,24th St. Mission BART
El Cerrito Plaza BART,24th St. Mission BART
Embarcadero BART,24th St. Mission BART
Fremont BART,24th St. Mission BART
Fruitvale  BART,24th St. Mission BART
Glen Park BART,24th St. Mission BART
Hayward BART,24th St. Mission BART
Lafayette BART,24th St. Mission BART
Lake Merritt  BART,24th St. Mission BART
MacArthur  BART,24th St. Mission BART
Millbrae BART,24th St. Mission BART
Montgomery St. BART,24th St. Mission BART
North Berkeley BART,24th St. Mission BART
North Concord/Martinez BART,24th St. Mission BART
Orinda BART,24th St. Mission BART
Pittsburg/Bay Point BART,24th St. Mission BART
Pleasant Hill/Contra Costa Centre BART,24th St. Mission BART
Powell St. BART,24th St. Mission BART
Richmond BART,24th St. Mission BART
Rockridge  BART,24th St. Mission BART
San Bruno BART,24th St. Mission BART
San Francisco Int'l Airport BART,24th St. Mission BART
San Leandro BART,24th St. Mission BART
South Hayward BART,24th St. Mission BART
South San Francisco BART,24th St. Mission BART
Union City BART,24th St. Mission BART
Walnut Creek BART,24th St. Mission BART
West Dublin/Pleasanton BART,24th St. Mission BART
West Oakland BART,24th St. Mission BART
12th St. Oakland City Center BART,Ashby BART
16th St. Mission BART,Ashby BART
19th St. Oakland BART,Ashby BART
24th St. Mission BART,Ashby BART
Balboa Park BART,Ashby BART
Bay Fair  BART,Ashby BART
Castro Valley BART,Ashby BART
Civic Center/UN Plaza BART,Ashby BART
Coliseum/Oakland Airport BART,Ashby BART
Colma BART,Ashby BART
Concord BART,Ashby BART
Daly City BART,Ashby BART
Downtown Berkeley BART,Ashby BART
Dublin/Pleasanton BART,Ashby BART
El Cerrito del Norte BART,Ashby BART
El Cerrito Plaza BART,Ashby BART
Embarcadero BART,Ashby BART
Fremont BART,Ashby BART
Fruitvale  BART,Ashby BART
Glen Park BART,Ashby BART
Hayward BART,Ashby BART
Lafayette BART,Ashby BART
Lake Merritt  BART,Ashby BART
MacArthur  BART,Ashby BART
Millbrae BART,Ashby BART
Montgomery St. BART,Ashby BART
North Berkeley BART,Ashby BART
North Concord/Martinez BART,Ashby BART
Orinda BART,Ashby BART
Pittsburg/Bay Point BART,Ashby BART
Pleasant Hill/Contra Costa Centre BART,Ashby BART
Powell St. BART,Ashby BART
Richmond BART,Ashby BART
Rockridge  BART,Ashby BART
San Bruno BART,Ashby BART
San Francisco Int'l Airport BART,Ashby BART
San Leandro BART,Ashby BART
South Hayward BART,Ashby BART
South San Francisco BART,Ashby BART
Union City BART,Ashby BART
Walnut Creek BART,Ashby BART
West Dublin/Pleasanton BART,Ashby BART
West Oakland BART,Ashby BART
12th St. Oakland City Center BART,Balboa Park BART
16th St. Mission BART,Balboa Park BART
19th St. Oakland BART,Balboa Park BART
24th St. Mission BART,Balboa Park BART
Ashby BART,Balboa Park BART
Bay Fair  BART,Balboa Park BART
Castro Valley BART,Balboa Park BART
Civic Center/UN Plaza BART,Balboa Park BART
Coliseum/Oakland Airport BART,Balboa Park BART
Colma BART,Balboa Park BART
Concord BART,Balboa Park BART
Daly City BART,Balboa Park BART
Downtown Berkeley BART,Balboa Park BART
Dublin/Pleasanton BART,Balboa Park BART
El Cerrito del Norte BART,Balboa Park BART
El Cerrito Plaza BART,Balboa Park BART
Embarcadero BART,Balboa Park BART
Fremont BART,Balboa Park BART
Fruitvale  BART,Balboa Park BART
Glen Park BART,Balboa Park BART
Hayward BART,Balboa Park BART
Lafayette BART,Balboa Park BART
Lake Merritt  BART,Balboa Park BART
MacArthur  BART,Balboa Park BART
Millbrae BART,Balboa Park BART
Montgomery St. BART,Balboa Park BART
North Berkeley BART,Balboa Park BART
North Concord/Martinez BART,Balboa Park BART
Orinda BART,Balboa Park BART
Pittsburg/Bay Point BART,Balboa Park BART
