Station Pair ID,From,To,Miles, Fare ,Self,Airport,FromBaySide,ToBaySide,TransBay,SanMateo
0,12th St.,16th St.,12.55,3.3,0,0,E,W,1,0
1,12th St.,19th St.,0.35,1.75,0,0,E,E,0,0
2,12th St.,24th St.,13.68,3.4,0,0,E,W,1,0
3,12th St.,Ashby,4.04,1.75,0,0,E,E,0,0
4,12th St.,Balboa Park,16.29,3.75,0,0,E,W,1,0
5,12th St.,Bay Fair,12.81,2.65,0,0,E,E,0,0
6,12th St.,Castro Valley,17.67,3.05,0,0,E,E,0,0
7,12th St.,Civic Center,11.26,3.15,0,0,E,W,1,0
8,12th St.,Coliseum,6.34,1.75,0,0,E,E,0,0
9,12th St.,Colma,19.27,3.85,0,0,E,W,1,1
10,12th St.,Concord,21.92,3.7,0,0,E,E,0,0
11,12th St.,Daly City,18.34,3.85,0,0,E,W,1,1
12,12th St.,Berkeley,5.23,1.75,0,0,E,E,0,0
13,12th St.,Dublin/Pleasanton,27.62,4.05,0,0,E,E,0,0
14,12th St.,El Cerrito del Norte,10.57,2.35,0,0,E,E,0,0
15,12th St.,El Cerrito Plaza,9.26,2.1,0,0,E,E,0,0
16,12th St.,Embarcadero,10.52,3.15,0,0,E,W,1,0
17,12th St.,Fremont,27.39,4.05,0,0,E,E,0,0
18,12th St.,Fruitvale,4.04,1.75,0,0,E,E,0,0
19,12th St.,Glen Park,15.43,3.65,0,0,E,W,1,0
20,12th St.,Hayward,14.9,3.05,0,0,E,E,0,0
21,12th St.,Lafayette,12.84,2.8,0,0,E,E,0,0
22,12th St.,Lake Merritt,0.66,1.75,0,0,E,E,0,0
23,12th St.,MacArthur,2.38,1.75,0,0,E,E,0,0
24,12th St.,Millbrae,24.02,4.55,0,0,E,W,1,1
25,12th St.,Montgomery,10.99,3.15,0,0,E,W,1,0
26,12th St.,North Berkeley,7.55,1.8,0,0,E,E,0,0
27,12th St.,North Concord,24.38,3.9,0,0,E,E,0,0
28,12th St.,Orinda,9.13,2.2,0,0,E,E,0,0
29,12th St.,Pittsburg/Bay Pt,28.87,4.4,0,0,E,E,0,0
