From,Miles,To
MLBR,0,MLBR
MLBR,5.4,SFIA
MLBR,4.79,SBRN
MLBR,8.22,SSAN
MLBR,10.13,COLM
MLBR,12.040000000000001,DALY
MLBR,13.780000000000001,BALB
MLBR,15.450000000000001,GLEN
MLBR,17.28,24TH
MLBR,18.17,16TH
MLBR,19.540000000000003,CIVC
MLBR,19.980000000000004,POWL
MLBR,20.390000000000004,MONT
MLBR,20.730000000000004,EMBR
MLBR,29.795,WOAK
MLBR,60.045,FRMT
MLBR,55.505,UCTY
MLBR,50.965,SHAY
MLBR,47.595000000000006,HAYW
MLBR,43.455000000000005,BAYF
MLBR,40.135000000000005,SANL
MLBR,37.025000000000006,COLS
MLBR,34.825,FTVL
MLBR,31.795,LAKE
MLBR,47.955000000000005,CAST
MLBR,57.205000000000005,WDUB
MLBR,59.58500000000001,DUBL
MLBR,31.555000000000003,12TH
MLBR,31.905000000000005,19TH
MLBR,33.825,MCAR
MLBR,35.695,ASHB
MLBR,37.365,DBRK
MLBR,38.495000000000005,NBRK
MLBR,41.87500000000001,PLZA
MLBR,44.215,DELN
MLBR,46.425000000000004,RICH
MLBR,35.595000000000006,ROCK
MLBR,40.94500000000001,ORIN
MLBR,45.455000000000005,LAFY
MLBR,49.37500000000001,WCRK
MLBR,51.72500000000001,PHIL
MLBR,56.57500000000001,CONC
MLBR,59.40500000000001,NCON
MLBR,65.075,PITT
SFIA,5.4,MLBR
SFIA,0,SFIA
SFIA,4.06,SBRN
SFIA,7.49,SSAN
SFIA,9.4,COLM
SFIA,11.31,DALY
SFIA,13.05,BALB
SFIA,14.72,GLEN
SFIA,16.55,24TH
SFIA,17.44,16TH
SFIA,18.810000000000002,CIVC
SFIA,19.250000000000004,POWL
SFIA,19.660000000000004,MONT
SFIA,20.000000000000004,EMBR
SFIA,29.065000000000005,WOAK
SFIA,59.315000000000005,FRMT
SFIA,54.775000000000006,UCTY
SFIA,50.23500000000001,SHAY
SFIA,46.86500000000001,HAYW
