Dest,DrivingMiles,EuclidMiles,Orig
12TH,0,0,12TH
16TH,0,9.271613764449231,12TH
19TH,0,0.3224895096519742,12TH
24TH,0,10.157500801124826,12TH
ASHB,0,3.4458315631307093,12TH
BALB,0,12.791531779514695,12TH
BAYF,0,10.852638198951077,12TH
CAST,0,13.69899715328853,12TH
CIVC,0,8.222308170942425,12TH
COLS,0,5.349638539639129,12TH
COLM,0,15.895484575304126,12TH
CONC,0,19.30823140772964,12TH
DALY,0,14.405713308053908,12TH
DBRK,0,4.611333473240475,12TH
DUBL,0,23.329812620091975,12TH
DELN,0,9.524387476062449,12TH
PLZA,0,7.681626198353499,12TH
EMBR,0,6.907976346959199,12TH
FRMT,0,23.614401228698405,12TH
FTVL,0,3.2821611809987243,12TH
GLEN,0,11.741849707770807,12TH
HAYW,0,13.673891079407595,12TH
LAFY,0,10.968703028299789,12TH
LAKE,0,0.5378605106998015,12TH
MCAR,0,1.7428602527850967,12TH
MLBR,0,23.216151804568263,12TH
MONT,0,7.26993083114649,12TH
NBRK,0,5.501414736374397,12TH
NCON,0,21.36020536524892,12TH
ORIN,0,7.529572826342418,12TH
PITT,0,25.827450785785636,12TH
PHIL,0,15.853220012573772,12TH
POWL,0,7.688864025582216,12TH
RICH,0,11.632765588968635,12TH
ROCK,0,3.1424461114683524,12TH
SBRN,0,20.141572882791237,12TH
SFIA,0,22.124880519638193,12TH
SANL,0,8.276263931813535,12TH
SHAY,0,16.64195348572175,12TH
SSAN,0,17.756053842889678,12TH
UCTY,0,20.353797229265307,12TH
WCRK,0,14.163258513788978,12TH
WDUB,0,21.80431109186694,12TH
WOAK,0,1.25932947549149,12TH
12TH,0,9.27161376444917,16TH
16TH,0,0,16TH
19TH,0,9.594103274101144,16TH
24TH,0,0.8858870366755941,16TH
ASHB,0,12.71744532757988,16TH
BALB,0,3.519918015065464,16TH
BAYF,0,19.988331962670607,16TH
CAST,0,22.83469091700806,16TH
CIVC,0,1.049305593506594,16TH
COLS,0,14.485332303358657,16TH
COLM,0,6.6238708108548945,16TH
CONC,0,28.57984517217881,16TH
DALY,0,5.134099543604677,16TH
DBRK,0,13.882947237689645,16TH
DUBL,0,32.46550638381151,16TH
DELN,0,18.796001240511618,16TH
PLZA,0,16.95323996280267,16TH
EMBR,0,2.363637417489977,16TH
FRMT,0,32.750094992417935,16TH
FTVL,0,12.417854944718252,16TH
GLEN,0,2.4702359433215766,16TH
HAYW,0,22.809584843127126,16TH
LAFY,0,20.24031679274896,16TH
LAKE,0,9.67355427441933,16TH
MCAR,0,11.014474017234267,16TH
MLBR,0,13.94453804011903,16TH
MONT,0,2.001682933302677,16TH
NBRK,0,14.773028500823568,16TH
NCON,0,30.63181912969809,16TH
ORIN,0,16.801186590791588,16TH
PITT,0,35.09906455023481,16TH
PHIL,0,25.124833777022943,16TH
POWL,0,1.5827497388668008,16TH
RICH,0,20.904379353417802,16TH
ROCK,0,12.414059875917523,16TH
SBRN,0,10.869959118342003,16TH
SFIA,0,12.853266755188956,16TH
SANL,0,17.411957695533065,16TH
SHAY,0,25.77764724944128,16TH
SSAN,0,8.484440078440445,16TH
UCTY,0,29.489490992984837,16TH
WCRK,0,23.43487227823815,16TH
WDUB,0,30.94000485558647,16TH
WOAK,0,8.01228428895768,16TH
12TH,0,0.32248950965217094,19TH
