"Orig","Dest","DrivingMiles","EuclidMiles","price","TransBay"
"12TH","12TH",0,0,5.55,"FALSE"
"12TH","16TH",0,9.27161376444923,3.5,"TRUE"
"12TH","19TH",0,0.322489509651974,1.85,"FALSE"
"12TH","24TH",0,10.1575008011248,3.6,"TRUE"
"12TH","ASHB",0,3.44583156313071,1.85,"FALSE"
"12TH","BALB",0,12.7915317795147,3.95,"TRUE"
"12TH","BAYF",0,10.8526381989511,2.75,"FALSE"
"12TH","CAST",0,13.6989971532885,3.2,"FALSE"
"12TH","CIVC",0,8.22230817094242,3.3,"TRUE"
"12TH","COLM",0,15.8954845753041,4.05,"TRUE"
"12TH","COLS",0,5.34963853963913,1.85,"FALSE"
"12TH","CONC",0,19.3082314077296,3.9,"FALSE"
"12TH","DALY",0,14.4057133080539,4.1,"TRUE"
"12TH","DBRK",0,4.61133347324048,1.85,"FALSE"
"12TH","DELN",0,9.52438747606245,2.45,"FALSE"
"12TH","DUBL",0,23.329812620092,4.25,"FALSE"
"12TH","EMBR",0,6.9079763469592,3.3,"TRUE"
"12TH","FRMT",0,23.6144012286984,4.3,"FALSE"
"12TH","FTVL",0,3.28216118099872,1.85,"FALSE"
"12TH","GLEN",0,11.7418497077708,3.85,"TRUE"
"12TH","HAYW",0,13.6738910794076,3.2,"FALSE"
"12TH","LAFY",0,10.9687030282998,2.95,"FALSE"
"12TH","LAKE",0,0.537860510699801,1.85,"FALSE"
"12TH","MCAR",0,1.7428602527851,1.85,"FALSE"
"12TH","MLBR",0,23.2161518045683,4.8,"TRUE"
"12TH","MONT",0,7.26993083114649,3.3,"TRUE"
"12TH","NBRK",0,5.5014147363744,1.9,"FALSE"
"12TH","NCON",0,21.3602053652489,4.1,"FALSE"
"12TH","ORIN",0,7.52957282634242,2.35,"FALSE"
"12TH","PHIL",0,15.8532200125738,3.55,"FALSE"
"12TH","PITT",0,25.8274507857856,4.6,"FALSE"
"12TH","PLZA",0,7.6816261983535,2.2,"FALSE"
"12TH","POWL",0,7.68886402558222,3.3,"TRUE"
"12TH","RICH",0,11.6327655889686,2.8,"FALSE"
"12TH","ROCK",0,3.14244611146835,1.85,"FALSE"
"12TH","SANL",0,8.27626393181353,2.4,"FALSE"
"12TH","SBRN",0,20.1415728827912,4.5,"TRUE"
"12TH","SFIA",0,22.1248805196382,8.95,"TRUE"
"12TH","SHAY",0,16.6419534857217,3.5,"FALSE"
"12TH","SSAN",0,17.7560538428897,4.25,"TRUE"
"12TH","UCTY",0,20.3537972292653,3.95,"FALSE"
"12TH","WCRK",0,14.163258513789,3.4,"FALSE"
"12TH","WDUB",0,21.8043110918669,4.1,"FALSE"
"12TH","WOAK",0,1.25932947549149,1.85,"FALSE"
"16TH","12TH",0,9.27161376444917,3.5,"TRUE"
"16TH","16TH",0,0,5.55,"FALSE"
"16TH","19TH",0,9.59410327410114,3.5,"TRUE"
"16TH","24TH",0,0.885887036675594,1.85,"FALSE"
"16TH","ASHB",0,12.7174453275799,3.9,"TRUE"
"16TH","BALB",0,3.51991801506546,1.85,"FALSE"
"16TH","BAYF",0,19.9883319626706,4.65,"TRUE"
"16TH","CAST",0,22.8346909170081,4.95,"TRUE"
"16TH","CIVC",0,1.04930559350659,1.85,"FALSE"
"16TH","COLM",0,6.62387081085489,3.35,"FALSE"
"16TH","COLS",0,14.4853323033587,4.15,"TRUE"
"16TH","CONC",0,28.5798451721788,5.7,"TRUE"
"16TH","DALY",0,5.13409954360468,2.95,"FALSE"
"16TH","DBRK",0,13.8829472376896,4,"TRUE"
"16TH","DELN",0,18.7960012405116,4.4,"TRUE"
"16TH","DUBL",0,32.4655063838115,6,"TRUE"
"16TH","EMBR",0,2.36363741748998,1.85,"FALSE"
"16TH","FRMT",0,32.7500949924179,6,"TRUE"
"16TH","FTVL",0,12.4178549447183,3.9,"TRUE"
"16TH","GLEN",0,2.47023594332158,1.85,"FALSE"
"16TH","HAYW",0,22.8095848431271,4.95,"TRUE"
"16TH","LAFY",0,20.240316792749,4.8,"TRUE"
"16TH","LAKE",0,9.67355427441933,3.5,"TRUE"
"16TH","MCAR",0,11.0144740172343,3.7,"TRUE"
"16TH","MLBR",0,13.944538040119,4.45,"FALSE"
"16TH","MONT",0,2.00168293330268,1.85,"FALSE"
"16TH","NBRK",0,14.7730285008236,4.05,"TRUE"
"16TH","NCON",0,30.6318191296981,5.9,"TRUE"
"16TH","ORIN",0,16.8011865907916,4.45,"TRUE"
"16TH","PHIL",0,25.1248337770229,5.3,"TRUE"
"16TH","PITT",0,35.0990645502348,6.4,"TRUE"
"16TH","PLZA",0,16.9532399628027,4.25,"TRUE"
"16TH","POWL",0,1.5827497388668,1.85,"FALSE"
"16TH","RICH",0,20.9043793534178,4.6,"TRUE"
"16TH","ROCK",0,12.4140598759175,3.9,"TRUE"
"16TH","SANL",0,17.4119576955331,4.45,"TRUE"
"16TH","SBRN",0,10.869959118342,4,"FALSE"
"16TH","SFIA",0,12.853266755189,8.6,"FALSE"
"16TH","SHAY",0,25.7776472494413,5.2,"TRUE"
"16TH","SSAN",0,8.48444007844044,3.6,"FALSE"
"16TH","UCTY",0,29.4894909929848,5.7,"TRUE"
"16TH","WCRK",0,23.4348722782381,5.15,"TRUE"
"16TH","WDUB",0,30.9400048555865,5.85,"TRUE"
"16TH","WOAK",0,8.01228428895768,3.35,"TRUE"
"19TH","12TH",0,0.322489509652171,1.85,"FALSE"
"19TH","16TH",0,9.5941032741014,3.5,"TRUE"
"19TH","19TH",0,0,5.55,"FALSE"
"19TH","24TH",0,10.479990310777,3.6,"TRUE"
"19TH","ASHB",0,3.12334205347873,1.85,"FALSE"
"19TH","BALB",0,13.1140212891669,3.95,"TRUE"
"19TH","BAYF",0,11.1751277086032,2.75,"FALSE"
"19TH","CAST",0,14.0214866629407,3.2,"FALSE"
"19TH","CIVC",0,8.5447976805946,3.3,"TRUE"
"19TH","COLM",0,16.2179740849563,4.05,"TRUE"
"19TH","COLS",0,5.6721280492913,1.85,"FALSE"
"19TH","CONC",0,18.9857418980777,3.9,"FALSE"
"19TH","DALY",0,14.7282028177061,4.1,"TRUE"
"19TH","DBRK",0,4.2888439635885,1.85,"FALSE"
"19TH","DELN",0,9.20189796641047,2.45,"FALSE"
"19TH","DUBL",0,23.6523021297441,4.25,"FALSE"
"19TH","EMBR",0,7.23046585661137,3.3,"TRUE"
"19TH","FRMT",0,23.9368907383506,4.3,"FALSE"
"19TH","FTVL",0,3.6046506906509,1.85,"FALSE"
"19TH","GLEN",0,12.064339217423,3.85,"TRUE"
"19TH","HAYW",0,13.9963805890598,3.2,"FALSE"
"19TH","LAFY",0,10.6462135186478,2.95,"FALSE"
"19TH","LAKE",0,0.860350020351972,1.85,"FALSE"
"19TH","MCAR",0,1.42037074313312,1.85,"FALSE"
"19TH","MLBR",0,23.5386413142204,4.8,"TRUE"
"19TH","MONT",0,7.59242034079866,3.3,"TRUE"
