stations,side_of_bay
12th St.,E
16th St.,W
19th St.,E
24th St.,W
Ashby,E
Balboa Park,W
Bay Fair,E
Castro Valley,E
Civic Center,W
Coliseum,E
Colma,W
Concord,E
Daly City,W
Berkeley,E
Dublin/Pleasanton,E
El Cerrito del Norte,E
El Cerrito Plaza,E
Embarcadero,W
Fremont,E
Fruitvale,E
Glen Park,W
Hayward,E
Lafayette,E
Lake Merritt,E
MacArthur,E
Millbrae,W
Montgomery,W
North Berkeley,E
North Concord,E
Orinda,E
Pittsburg/Bay Pt,E
Pleasant Hill,E
Powell,W
Richmond,E
Rockridge,E
San Bruno,W
SFIA,W
San Leandro,E
South Hayward,E
South SF,W
Union City,E
Walnut Creek,E
West Dublin,E
West Oakland,E
