Arriving,Line, Peak_Fare , Off_Peak_Fare , Reduced_Fare ,Miles,Time
Addison Road-Seat Pleasant,B, 5.70 , 3.50 , 2.85 ,15.47,48
Anacostia,G, 4.25 , 3.30 , 2.10 ,10.23,36
Archives-Navy Memorial-Penn Quarter,"G,Y", 3.55 , 2.75 , 1.75 ,7.88,32
Arlington Cemetery,B, 2.90 , 2.05 , 1.45 ,5.56,20
Ballston-MU,O, 2.10 , 1.70 , 1.05 ,2.43,4
Benning Road,B, 5.00 , 3.50 , 2.50 ,13.04,42
Bethesda,R, 4.55 , 3.50 , 2.25 ,11.39,42
Braddock Road,"B,Y", 4.15 , 2.75 , 2.05 ,9.89,39
Branch Ave,G, 5.75 , 3.50 , 2.85 ,15.8,49
Brookland-CUA,R, 4.30 , 3.35 , 2.15 ,10.55,34
Capitol Heights,B, 5.45 , 3.50 , 2.70 ,14.49,45
Capitol South,"B,O", 3.90 , 2.75 , 1.95 ,9.05,28
Cheverly,O, 5.45 , 3.50 , 2.70 ,14.51,10
Clarendon,O, 2.25 , 1.80 , 1.10 ,3.42,8
Cleveland Park,R, 3.80 , 2.75 , 1.90 ,8.66,33
College Park-U of MD,G, 5.75 , 3.50 , 2.85 ,15.9,40
Columbia Heights,"G,Y", 3.80 , 2.75 , 1.90 ,8.75,39
Congress Heights,G, 4.50 , 3.50 , 2.25 ,11.18,39
Court House,O, 2.40 , 1.90 , 1.20 ,3.9,10
Crystal City,"B,Y", 3.45 , 2.70 , 1.70 ,7.39,26
Deanwood,O, 5.10 , 3.50 , 2.55 ,13.4,38
Dunn Loring-Merrifield,O, 2.45 , 1.95 , 1.20 ,4.14,7
Dupont Circle,R, 3.55 , 2.75 , 1.75 ,7.73,29
Eastern Market,"B,O", 4.05 , 2.75 , 2.00 ,9.55,30
Eisenhower Avenue,Y, 4.35 , 3.35 , 2.15 ,10.59,43
Farragut North,R, 3.45 , 2.75 , 1.70 ,7.52,27
Farragut West,"B,O", 3.25 , 2.05 , 1.60 ,6.68,17
Federal Center SW,"B,O", 3.75 , 2.75 , 1.85 ,8.47,26
Federal Triangle,"B,O", 3.50 , 2.75 , 1.75 ,7.55,20
Foggy Bottom-GWU,"B,O", 3.10 , 2.05 , 1.55 ,6.16,15
Forest Glen,R, 5.40 , 3.50 , 2.70 ,14.47,46
Fort Totten,"G,Y,R", 4.55 , 3.50 , 2.25 ,11.31,37
Franconia-Springfield,B, 5.40 , 3.50 , 2.70 ,14.33,44
Friendship Heights,R, 4.15 , 2.75 , 2.05 ,9.96,39
Gallery Pl-Chinatown,"G,Y,R", 3.50 , 2.75 , 1.75 ,7.7,26
Georgia Ave-Petworth,"G,Y", 4.00 , 2.75 , 2.00 ,9.48,42
Glenmont,R, 5.75 , 3.50 , 2.85 ,17.44,53
Greenbelt,G, 5.75 , 3.50 , 2.85 ,18.1,43
Grosvenor-Strathmore,R, 5.40 , 3.50 , 2.70 ,14.43,47
Huntington,Y, 4.45 , 3.45 , 2.20 ,10.97,44
Judiciary Square,R, 3.60 , 2.75 , 1.80 ,8.04,27
King St-Old Town,"B,Y", 4.25 , 3.30 , 2.10 ,10.25,41
L'Enfant Plaza,"B,O,G,Y", 3.65 , 2.75 , 1.80 ,8.15,24
Landover,O, 5.75 , 3.50 , 2.85 ,16.21,43
Largo Town Center,B, 5.75 , 3.50 , 2.85 ,18.26,54
McPherson Square,"B,O", 3.35 , 2.65 , 1.65 ,7.06,18
Medical Center,R, 4.85 , 3.50 , 2.40 ,12.35,44
Metro Center,"B,O,R", 3.45 , 2.70 , 1.70 ,7.41,19
Minnesota Ave,O, 4.90 , 3.50 , 2.45 ,12.61,36
Morgan Boulevard,B, 5.75 , 3.50 , 2.85 ,16.97,51
Mt Vernon Sq 7th St-Convention Center,"G,Y", 3.60 , 2.75 , 1.80 ,7.91,34
Navy Yard-Ballpark,G, 3.95 , 2.75 , 1.95 ,9.31,34
Naylor Road,G, 5.05 , 3.50 , 2.50 ,13.14,44
New Carrollton,O, 5.75 , 3.50 , 2.85 ,17.57,46
NoMa-Gallaudet (New York Ave),R, 3.90 , 2.75 , 1.95 ,9.11,30
Pentagon,"B,Y", 3.20 , 2.05 , 1.60 ,6.52,23
Pentagon City,"B,Y", 3.25 , 2.05 , 1.60 ,6.75,24
Potomac Ave,"B,O", 4.20 , 3.30 , 2.10 ,10.15,32
Prince George's Plaza,G, 5.30 , 3.50 , 2.65 ,14.05,37
Rhode Island Ave-Brentwood,R, 4.15 , 2.75 , 2.05 ,9.96,32
Rockville,R, 5.75 , 3.50 , 2.85 ,18.38,55
Ronald Reagan Washington National Airport,"B,Y", 3.55 , 2.75 , 1.75 ,7.88,28
Rosslyn,"B,O", 2.70 , 2.05 , 1.35 ,4.91,12
Shady Grove,R, 5.75 , 3.50 , 2.85 ,20.94,59
Shaw-Howard U,"G,Y", 3.65 , 2.75 , 1.80 ,8.2,35
Silver Spring,R, 5.10 , 3.50 , 2.55 ,13.25,43
Smithsonian,"B,O", 3.55 , 2.75 , 1.75 ,7.72,22
Southern Avenue,G, 4.80 , 3.50 , 2.40 ,12.17,41
Stadium-Armory,"B,O", 4.35 , 3.40 , 2.15 ,10.73,33
Suitland,G, 5.45 , 3.50 , 2.70 ,14.49,46
Takoma,R, 4.85 , 3.50 , 2.40 ,12.37,40
Tenleytown-AU,R, 4.00 , 2.75 , 2.00 ,9.39,37
Twinbrook,R, 5.75 , 3.50 , 2.85 ,16.7,52
U Street/African-Amer Civil War Memorial/Cardozo,"G,Y", 3.70 , 2.75 , 1.85 ,8.33,37
Union Station,R, 3.80 , 2.75 , 1.90 ,8.62,29
Van Dorn Street,B, 4.60 , 3.50 , 2.30 ,11.48,41
Van Ness-UDC,R, 3.90 , 2.75 , 1.95 ,9.04,35
Vienna/Fairfax-GMU,O, 3.20 , 2.05 , 1.60 ,6.61,11
Virginia Square-GMU,O, 2.10 , 1.70 , 1.05 ,2.98,6
Waterfront,G, 3.80 , 2.75 , 1.90 ,8.68,32
West Falls Church-VT/UVA,O, 2.10 , 1.70 , 1.05 ,2.05,3
West Hyattsville,G, 5.00 , 3.50 , 2.50 ,12.93,34
Wheaton,R, 5.75 , 3.50 , 2.85 ,15.83,50
White Flint,R, 5.75 , 3.50 , 2.85 ,15.69,49
Woodley Park-Zoo/Adams Morgan,R, 3.70 , 2.75 , 1.85 ,8.28,31
