Arriving,Line, Peak_Fare , Off_Peak_Fare , Reduced_Fare ,Miles,Time
Addison Road-Seat Pleasant,B, 3.40 , 2.70 , 1.70 ,7.32,18
Anacostia,G, 2.10 , 1.70 , 1.05 ,2.33,6
Archives-Navy Memorial-Penn Quarter,"G,Y", 2.10 , 1.70 , 1.05 ,0.57,2
Arlington Cemetery,B, 2.10 , 1.70 , 1.05 ,2.93,14
Ballston-MU,O, 2.95 , 2.05 , 1.45 ,5.72,20
Benning Road,B, 2.70 , 2.05 , 1.35 ,4.9,12
Bethesda,R, 3.65 , 2.75 , 1.80 ,8.21,27
Braddock Road,"B,Y", 3.10 , 2.05 , 1.55 ,6.21,15
Branch Ave,G, 3.70 , 2.75 , 1.85 ,8.4,19
Brookland-CUA,R, 2.45 , 1.95 , 1.20 ,4.1,18
Capitol Heights,B, 3.15 , 2.05 , 1.55 ,6.35,15
Capitol South,"B,O", 2.10 , 1.70 , 1.05 ,0.91,4
Cheverly,O, 3.20 , 2.05 , 1.60 ,6.49,16
Clarendon,O, 2.65 , 2.05 , 1.30 ,4.73,16
Cleveland Park,R, 2.45 , 2.00 , 1.20 ,4.17,18
College Park-U of MD,G, 4.05 , 2.75 , 2.00 ,9.61,33
Columbia Heights,"G,Y", 2.20 , 1.75 , 1.10 ,3.25,11
Congress Heights,G, 2.30 , 1.85 , 1.15 ,3.59,9
Court House,O, 2.50 , 2.00 , 1.25 ,4.26,14
Crystal City,"B,Y", 2.10 , 1.70 , 1.05 ,3.04,8
Deanwood,O, 2.85 , 2.05 , 1.40 ,5.34,14
Dunn Loring-Merrifield,O, 4.80 , 3.50 , 2.40 ,12.28,31
Dupont Circle,R, 2.10 , 1.70 , 1.05 ,2.28,14
East Falls Church,O, 3.65 , 2.75 , 1.80 ,8.15,24
Eastern Market,"B,O", 2.10 , 1.70 , 1.05 ,1.41,6
Eisenhower Avenue,Y, 3.45 , 2.75 , 1.70 ,7.51,19
Farragut North,R, 2.10 , 1.70 , 1.05 ,1.77,12
Farragut West,"B,O", 2.10 , 1.70 , 1.05 ,1.77,7
Federal Center SW,"B,O", 2.10 , 1.70 , 1.05 ,0.33,2
Federal Triangle,"B,O", 2.10 , 1.70 , 1.05 ,0.8,4
Foggy Bottom-GWU,"B,O", 2.10 , 1.70 , 1.05 ,2.21,9
Forest Glen,R, 4.15 , 2.75 , 2.05 ,9.99,30
Fort Totten,"G,Y,R", 2.85 , 2.05 , 1.40 ,5.33,21
Franconia-Springfield,B, 5.10 , 3.50 , 2.55 ,13.35,58
Friendship Heights,R, 3.20 , 2.05 , 1.60 ,6.53,24
Gallery Pl-Chinatown,"G,Y,R", 2.10 , 1.70 , 1.05 ,0.92,4
Georgia Ave-Petworth,"G,Y", 2.35 , 1.90 , 1.15 ,3.86,14
Glenmont,R, 5.10 , 3.50 , 2.55 ,13.31,37
Greenbelt,G, 4.75 , 3.50 , 2.35 ,12.05,36
Grosvenor-Strathmore,R, 4.55 , 3.50 , 2.25 ,11.42,32
Huntington,Y, 3.60 , 2.75 , 1.80 ,8.02,20
Judiciary Square,R, 2.10 , 1.70 , 1.05 ,1.06,10
King St-Old Town,"B,Y", 3.30 , 2.05 , 1.65 ,6.85,17
Landover,O, 4.20 , 3.30 , 2.10 ,8.26,19
Largo Town Center,B, 4.20 , 3.30 , 2.10 ,10.13,24
McPherson Square,"B,O", 2.10 , 1.70 , 1.05 ,1.47,6
Medical Center,R, 3.95 , 2.75 , 1.95 ,9.23,29
Metro Center,"B,O,R", 2.10 , 1.70 , 1.05 ,1.09,5
Minnesota Ave,O, 2.60 , 2.05 , 1.30 ,4.52,12
Morgan Boulevard,B, 3.85 , 2.75 , 1.90 ,8.84,21
Mt Vernon Sq 7th St-Convention Center,"G,Y", 2.10 , 1.70 , 1.05 ,1.49,6
Navy Yard-Ballpark,G, 2.10 , 1.70 , 1.05 ,1.24,4
Naylor Road,G, 2.80 , 2.05 , 1.40 ,5.26,14
New Carrollton,O, 4.10 , 2.75 , 2.05 ,9.69,22
NoMa-Gallaudet (New York Ave),R, 2.10 , 1.70 , 1.05 ,2.22,13
Pentagon,"B,Y", 2.10 , 1.70 , 1.05 ,2.18,5
Pentagon City,"B,Y", 2.10 , 1.70 , 1.05 ,2.75,6
Potomac Ave,"B,O", 2.10 , 1.70 , 1.05 ,2.01,8
Prince George's Plaza,G, 3.55 , 2.75 , 1.75 ,7.82,30
Rhode Island Ave-Brentwood,R, 2.20 , 1.75 , 1.10 ,3.28,15
Rockville,R, 5.75 , 3.50 , 2.85 ,15.86,40
Ronald Reagan Washington National Airport,"B,Y", 2.20 , 1.80 , 1.10 ,3.34,10
Rosslyn,"B,O", 2.20 , 1.80 , 1.10 ,3.32,12
Shady Grove,R, 5.75 , 3.50 , 2.85 ,18.52,44
Shaw-Howard U,"G,Y", 2.10 , 1.70 , 1.05 ,1.97,7
Silver Spring,R, 3.70 , 2.75 , 1.85 ,8.39,27
Smithsonian,"B,O", 2.10 , 1.70 , 1.05 ,0.47,2
Southern Avenue,G, 2.55 , 2.05 , 1.25 ,6.38,11
Stadium-Armory,"B,O", 2.10 , 1.70 , 1.05 ,2.6,9
Suitland,G, 3.20 , 2.05 , 1.60 ,7.07,16
Takoma,R, 3.35 , 2.65 , 1.65 ,7.06,24
Tenleytown-AU,R, 2.95 , 2.05 , 1.45 ,5.76,22
Twinbrook,R, 5.25 , 3.50 , 2.60 ,13.89,37
U Street/African-Amer Civil War Memorial/Cardozo,"G,Y", 2.10 , 1.70 , 1.05 ,2.35,9
Union Station,R, 2.10 , 1.70 , 1.05 ,1.56,12
Van Dorn Street,B, 4.15 , 2.75 , 2.05 ,10,28
Van Ness-UDC,R, 2.65 , 2.05 , 1.30 ,4.8,20
Vienna/Fairfax-GMU,O, 5.50 , 3.50 , 2.75 ,14.74,35
Virginia Square-GMU,O, 2.80 , 2.05 , 1.40 ,5.17,18
Waterfront,G, 2.10 , 1.70 , 1.05 ,0.72,2
West Falls Church-VT/UVA,O, 4.20 , 3.25 , 2.10 ,10.08,27
West Hyattsville,G, 3.25 , 2.05 , 1.60 ,6.7,27
Wheaton,R, 4.60 , 3.50 , 2.30 ,11.59,34
White Flint,R, 4.95 , 3.50 , 2.45 ,12.8,34
