service_id,date,exception_type
SUN,20140101,1
WKDY,20140101,2
SUNAB,20140101,1
M-FSAT,20140101,2
SAT,20140120,1
WKDY,20140120,2
SAT,20140217,1
WKDY,20140217,2
SUN,20140526,1
WKDY,20140526,2
SUNAB,20140526,1
M-FSAT,20140526,2
SUN,20140704,1
WKDY,20140704,2
SUNAB,20140704,1
M-FSAT,20140704,2
SUN,20140901,1
WKDY,20140901,2
SUNAB,20140901,1
M-FSAT,20140901,2
SUN,20141127,1
WKDY,20141127,2
SUNAB,20141127,1
M-FSAT,20141127,2
SUN,20141225,1
WKDY,20141225,2
SUNAB,20141225,1
M-FSAT,20141225,2
SUN,20150101,1
WKDY,20150101,2
SUNAB,20150101,1
M-FSAT,20150101,2
