Station Pair ID,From Name,From Address,To Name,To Address,Distance in Miles
0,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110",12.55
1,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","19th St. Oakland Station","1900 Broadway, Oakland, CA 94612",0.35
2,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110",13.68
3,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Ashby Station","3100 Adeline Street, Berkeley, CA 94703",4.04
4,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Balboa Park Station","401 Geneva Avenue, San Francisco, CA 94112",16.29
5,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Bay Fair Station","15242 Hesperian Blvd., San Leandro, CA 94578",12.81
6,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Castro Valley Station","3301 Norbridge Dr., Castro Valley, CA 94546",17.67
7,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Civic CenterUN Plaza Station","1150 Market Street, San Francisco, CA 94102",11.26
8,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","ColiseumOakland Airport Station","7200 San Leandro St., Oakland, CA 94621",6.34
9,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Colma Station","365 D Street, Colma, CA 94014",19.27
10,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Concord Station","1451 Oakland Avenue, Concord, CA 94520",21.92
11,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Daly City Station","500 John Daly Blvd., Daly City, CA 94014",18.34
12,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Downtown Berkeley Station","2160 Shattuck Avenue, Berkeley, CA 94704",5.23
13,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","DublinPleasanton Station","5801 Owens Dr., Pleasanton, CA 94588",27.62
14,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","El Cerrito del Norte Station","6400 Cutting Blvd., El Cerrito, CA 94530",10.57
15,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","El Cerrito Plaza Station","6699 Fairmount Avenue, El Cerrito, CA 94530",9.26
16,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Embarcadero Station","298 Market Street, San Francisco, CA 94111",10.52
17,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Fremont Station","2000 BART Way, Fremont, CA 94536",27.39
18,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Fruitvale Station","3401 East 12th Street, Oakland, CA 94601",4.04
19,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Glen Park Station","2901 Diamond Street, San Francisco, CA 94131",15.43
20,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Hayward Station","699 'B' Street, Hayward, CA 94541",14.9
21,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549",12.84
22,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Lake Merritt Station","800 Madison Street, Oakland, CA 94607",0.66
23,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","MacArthur Station","555 40th Street, Oakland, CA 94609",2.38
24,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Millbrae Station","200 North Rollins Road, Millbrae, CA 94030",24.02
25,"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612","Montgomery St. Station","598 Market Street, San Francisco, CA 94104",10.99
