825,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Civic CenterUN Plaza Station","1150 Market Street, San Francisco, CA 94102",14.43
826,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","ColiseumOakland Airport Station","7200 San Leandro St., Oakland, CA 94621",2.33
827,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Colma Station","365 D Street, Colma, CA 94014",22.44
828,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Concord Station","1451 Oakland Avenue, Concord, CA 94520",25.75
829,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Daly City Station","500 John Daly Blvd., Daly City, CA 94014",21.51
830,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Downtown Berkeley Station","2160 Shattuck Avenue, Berkeley, CA 94704",9.05
831,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","DublinPleasanton Station","5801 Owens Dr., Pleasanton, CA 94588",21.69
832,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","El Cerrito del Norte Station","6400 Cutting Blvd., El Cerrito, CA 94530",14.53
833,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","El Cerrito Plaza Station","6699 Fairmount Avenue, El Cerrito, CA 94530",13.22
834,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Embarcadero Station","298 Market Street, San Francisco, CA 94111",13.69
835,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Fremont Station","2000 BART Way, Fremont, CA 94536",24.07
836,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Glen Park Station","2901 Diamond Street, San Francisco, CA 94131",18.6
837,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Hayward Station","699 'B' Street, Hayward, CA 94541",11.58
838,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549",16.67
839,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Lake Merritt Station","800 Madison Street, Oakland, CA 94607",3.03
840,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","MacArthur Station","555 40th Street, Oakland, CA 94609",6.93
841,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Millbrae Station","200 North Rollins Road, Millbrae, CA 94030",27.19
842,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Montgomery St. Station","598 Market Street, San Francisco, CA 94104",14.16
843,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","North Berkeley Station","1750 Sacramento Street, Berkeley, CA 94702",11.51
844,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","North ConcordMartinez Station","3700 Port Chicago Highway, Concord, CA 94520",28.21
845,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Orinda Station","11 Camino Pablo, Orinda, CA 94563",12.96
846,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","PittsburgBay Point Station","1700 West Leland Road, Pittsburg, CA 94565",32.69
847,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Pleasant HillContra Costa Centre Station","1365 Treat Blvd., Walnut Creek, CA 94597",21.54
848,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Powell St. Station","899 Market Street, San Francisco, CA 94102",14.15
849,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Richmond Station","1700 Nevin Avenue, Richmond, CA 94801",16.09
850,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Rockridge Station","5660 College Avenue, Oakland, CA 94618",7.73
851,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","San Bruno Station","1151 Huntington Avenue, San Bruno, CA 94066",25.76
852,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","San Francisco Int'l Airport Station","International Terminal, Level 3, San Francisco Int'l Airport, CA 94128",26.66
853,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","San Leandro Station","1401 San Leandro Blvd., San Leandro, CA 94577",6.15
854,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","South Hayward Station","28601 Dixon Street, Hayward, CA 94544",14.93
855,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","South San Francisco Station","1333 Mission Road, South San Francisco, CA 94080",25.09
856,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Union City Station","10 Union Square, Union City, CA 94587",18.31
857,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","Walnut Creek Station","200 Ygnacio Valley Road, Walnut Creek, CA 94596",19.87
858,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","West DublinPleasanton Station","6501 Golden Gate Drive, Dublin, CA 94568",20.5
859,"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601","West Oakland Station","1451 7th Street, Oakland, CA 94607",5.99
860,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612",15.43
861,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110",2.72
862,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","19th St. Oakland Station","1900 Broadway, Oakland, CA 94612",14.9
863,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110",1.83
864,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Ashby Station","3100 Adeline Street, Berkeley, CA 94703",15.32
865,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Balboa Park Station","401 Geneva Avenue, San Francisco, CA 94112",1.34
866,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Bay Fair Station","15242 Hesperian Blvd., San Leandro, CA 94578",27.36
867,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Castro Valley Station","3301 Norbridge Dr., Castro Valley, CA 94546",29.57
868,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Civic CenterUN Plaza Station","1150 Market Street, San Francisco, CA 94102",5.33
869,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","ColiseumOakland Airport Station","7200 San Leandro St., Oakland, CA 94621",20.96
870,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Colma Station","365 D Street, Colma, CA 94014",4.32
871,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Concord Station","1451 Oakland Avenue, Concord, CA 94520",33.7
872,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Daly City Station","500 John Daly Blvd., Daly City, CA 94014",3.38
873,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Downtown Berkeley Station","2160 Shattuck Avenue, Berkeley, CA 94704",17.02
874,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","DublinPleasanton Station","5801 Owens Dr., Pleasanton, CA 94588",39.53
875,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","El Cerrito del Norte Station","6400 Cutting Blvd., El Cerrito, CA 94530",19.55
876,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","El Cerrito Plaza Station","6699 Fairmount Avenue, El Cerrito, CA 94530",18.23
877,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Embarcadero Station","298 Market Street, San Francisco, CA 94111",6.87
878,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Fremont Station","2000 BART Way, Fremont, CA 94536",43.03
879,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Fruitvale Station","3401 East 12th Street, Oakland, CA 94601",18.67
880,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Hayward Station","699 'B' Street, Hayward, CA 94541",29.53
881,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549",24.62
882,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Lake Merritt Station","800 Madison Street, Oakland, CA 94607",16.35
883,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","MacArthur Station","555 40th Street, Oakland, CA 94609",13.96
884,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Millbrae Station","200 North Rollins Road, Millbrae, CA 94030",12.21
885,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Montgomery St. Station","598 Market Street, San Francisco, CA 94104",6.21
886,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","North Berkeley Station","1750 Sacramento Street, Berkeley, CA 94702",16.53
887,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","North ConcordMartinez Station","3700 Port Chicago Highway, Concord, CA 94520",36.17
888,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Orinda Station","11 Camino Pablo, Orinda, CA 94563",20.91
889,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","PittsburgBay Point Station","1700 West Leland Road, Pittsburg, CA 94565",40.65
890,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Pleasant HillContra Costa Centre Station","1365 Treat Blvd., Walnut Creek, CA 94597",29.49
891,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Powell St. Station","899 Market Street, San Francisco, CA 94102",5.74
892,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Richmond Station","1700 Nevin Avenue, Richmond, CA 94801",21.1
893,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Rockridge Station","5660 College Avenue, Oakland, CA 94618",15.68
894,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","San Bruno Station","1151 Huntington Avenue, San Bruno, CA 94066",10.78
895,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","San Francisco Int'l Airport Station","International Terminal, Level 3, San Francisco Int'l Airport, CA 94128",11.68
896,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","San Leandro Station","1401 San Leandro Blvd., San Leandro, CA 94577",24.1
897,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","South Hayward Station","28601 Dixon Street, Hayward, CA 94544",33.89
898,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","South San Francisco Station","1333 Mission Road, South San Francisco, CA 94080",6.29
899,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Union City Station","10 Union Square, Union City, CA 94587",37.26
900,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","Walnut Creek Station","200 Ygnacio Valley Road, Walnut Creek, CA 94596",27.83
901,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","West DublinPleasanton Station","6501 Golden Gate Drive, Dublin, CA 94568",38.33
902,"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131","West Oakland Station","1451 7th Street, Oakland, CA 94607",13.79
903,"Hayward Station","699 'B' Street, Hayward, CA 94541","12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612",14.8
904,"Hayward Station","699 'B' Street, Hayward, CA 94541","16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110",26.59
905,"Hayward Station","699 'B' Street, Hayward, CA 94541","19th St. Oakland Station","1900 Broadway, Oakland, CA 94612",15.83
906,"Hayward Station","699 'B' Street, Hayward, CA 94541","24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110",27.72
907,"Hayward Station","699 'B' Street, Hayward, CA 94541","Ashby Station","3100 Adeline Street, Berkeley, CA 94703",18.73
908,"Hayward Station","699 'B' Street, Hayward, CA 94541","Balboa Park Station","401 Geneva Avenue, San Francisco, CA 94112",33.46
909,"Hayward Station","699 'B' Street, Hayward, CA 94541","Bay Fair Station","15242 Hesperian Blvd., San Leandro, CA 94578",4.14
910,"Hayward Station","699 'B' Street, Hayward, CA 94541","Castro Valley Station","3301 Norbridge Dr., Castro Valley, CA 94546",1.93
911,"Hayward Station","699 'B' Street, Hayward, CA 94541","Civic CenterUN Plaza Station","1150 Market Street, San Francisco, CA 94102",25.3
912,"Hayward Station","699 'B' Street, Hayward, CA 94541","ColiseumOakland Airport Station","7200 San Leandro St., Oakland, CA 94621",9.37
913,"Hayward Station","699 'B' Street, Hayward, CA 94541","Colma Station","365 D Street, Colma, CA 94014",30.57
914,"Hayward Station","699 'B' Street, Hayward, CA 94541","Concord Station","1451 Oakland Avenue, Concord, CA 94520",33.41
915,"Hayward Station","699 'B' Street, Hayward, CA 94541","Daly City Station","500 John Daly Blvd., Daly City, CA 94014",31.73
916,"Hayward Station","699 'B' Street, Hayward, CA 94541","Downtown Berkeley Station","2160 Shattuck Avenue, Berkeley, CA 94704",19.92
917,"Hayward Station","699 'B' Street, Hayward, CA 94541","DublinPleasanton Station","5801 Owens Dr., Pleasanton, CA 94588",11.9
918,"Hayward Station","699 'B' Street, Hayward, CA 94541","El Cerrito del Norte Station","6400 Cutting Blvd., El Cerrito, CA 94530",25.4
919,"Hayward Station","699 'B' Street, Hayward, CA 94541","El Cerrito Plaza Station","6699 Fairmount Avenue, El Cerrito, CA 94530",24.08
920,"Hayward Station","699 'B' Street, Hayward, CA 94541","Embarcadero Station","298 Market Street, San Francisco, CA 94111",24.56
921,"Hayward Station","699 'B' Street, Hayward, CA 94541","Fremont Station","2000 BART Way, Fremont, CA 94536",14.34
922,"Hayward Station","699 'B' Street, Hayward, CA 94541","Fruitvale Station","3401 East 12th Street, Oakland, CA 94601",12.18
923,"Hayward Station","699 'B' Street, Hayward, CA 94541","Glen Park Station","2901 Diamond Street, San Francisco, CA 94131",29.47
924,"Hayward Station","699 'B' Street, Hayward, CA 94541","Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549",23.21
925,"Hayward Station","699 'B' Street, Hayward, CA 94541","Lake Merritt Station","800 Madison Street, Oakland, CA 94607",14.32
926,"Hayward Station","699 'B' Street, Hayward, CA 94541","MacArthur Station","555 40th Street, Oakland, CA 94609",17.06
927,"Hayward Station","699 'B' Street, Hayward, CA 94541","Millbrae Station","200 North Rollins Road, Millbrae, CA 94030",21.69
928,"Hayward Station","699 'B' Street, Hayward, CA 94541","Montgomery St. Station","598 Market Street, San Francisco, CA 94104",25.03
