"12th St. Oakland City Center Station","1245 Broadway, Oakland, CA 94612"
"16th St. Mission Station","2000 Mission Street, San Francisco, CA 94110"
"19th St. Oakland Station","1900 Broadway, Oakland, CA 94612"
"24th St. Mission Station","2800 Mission Street, San Francisco, CA 94110"
"Ashby Station","3100 Adeline Street, Berkeley, CA 94703"
"Balboa Park Station","401 Geneva Avenue, San Francisco, CA 94112"
"Bay Fair Station","15242 Hesperian Blvd., San Leandro, CA 94578"
"Castro Valley Station","3301 Norbridge Dr., Castro Valley, CA 94546"
"Civic CenterUN Plaza Station","1150 Market Street, San Francisco, CA 94102"
"ColiseumOakland Airport Station","7200 San Leandro St., Oakland, CA 94621"
"Colma Station","365 D Street, Colma, CA 94014"
"Concord Station","1451 Oakland Avenue, Concord, CA 94520"
"Daly City Station","500 John Daly Blvd., Daly City, CA 94014"
"Downtown Berkeley Station","2160 Shattuck Avenue, Berkeley, CA 94704"
"DublinPleasanton Station","5801 Owens Dr., Pleasanton, CA 94588"
"El Cerrito del Norte Station","6400 Cutting Blvd., El Cerrito, CA 94530"
"El Cerrito Plaza Station","6699 Fairmount Avenue, El Cerrito, CA 94530"
"Embarcadero Station","298 Market Street, San Francisco, CA 94111"
"Fremont Station","2000 BART Way, Fremont, CA 94536"
"Fruitvale Station","3401 East 12th Street, Oakland, CA 94601"
"Glen Park Station","2901 Diamond Street, San Francisco, CA 94131"
"Hayward Station","699 'B' Street, Hayward, CA 94541"
"Lafayette Station","3601 Deer Hill Road, Lafayette, CA 94549"
"Lake Merritt Station","800 Madison Street, Oakland, CA 94607"
"MacArthur Station","555 40th Street, Oakland, CA 94609"
"Millbrae Station","200 North Rollins Road, Millbrae, CA 94030"
"Montgomery St. Station","598 Market Street, San Francisco, CA 94104"
"North Berkeley Station","1750 Sacramento Street, Berkeley, CA 94702"
"North ConcordMartinez Station","3700 Port Chicago Highway, Concord, CA 94520"
"Orinda Station","11 Camino Pablo, Orinda, CA 94563"
"PittsburgBay Point Station","1700 West Leland Road, Pittsburg, CA 94565"
"Pleasant HillContra Costa Centre Station","1365 Treat Blvd., Walnut Creek, CA 94597"
"Powell St. Station","899 Market Street, San Francisco, CA 94102"
"Richmond Station","1700 Nevin Avenue, Richmond, CA 94801"
"Rockridge Station","5660 College Avenue, Oakland, CA 94618"
"San Bruno Station","1151 Huntington Avenue, San Bruno, CA 94066"
"San Francisco Int'l Airport Station","International Terminal, Level 3, San Francisco Int'l Airport, CA 94128"
"San Leandro Station","1401 San Leandro Blvd., San Leandro, CA 94577"
"South Hayward Station","28601 Dixon Street, Hayward, CA 94544"
"South San Francisco Station","1333 Mission Road, South San Francisco, CA 94080"
"Union City Station","10 Union Square, Union City, CA 94587"
"Walnut Creek Station","200 Ygnacio Valley Road, Walnut Creek, CA 94596"
"West DublinPleasanton Station","6501 Golden Gate Drive, Dublin, CA 94568"
"West Oakland Station","1451 7th Street, Oakland, CA 94607"
